--------- beginning of main
09-10 12:06:42.024  3972  3989 I ArchitectureSpikeTest: Staging Qwen fixture (986048768 bytes)
09-10 12:07:08.116  3972  3989 I LlamaBridge: generate completed status=success durationMs=288 responseLength=28
09-10 12:07:08.116  3972  3989 I LlamaTranslationBridge: generate success promptLength=228 translatedLength=28 maxTokens=256 durationMs=288
09-10 12:07:08.116  3972  3989 I LlamaTranslationBridge: generate raw=You weren't even on my side.
09-10 12:07:08.473  3972  3989 I LlamaJNI: Generation complete tokens=12 resultLength=42 durationMs=357 sampleMs=0.66 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:08.474  3972  3989 I LlamaBridge: generate completed status=success durationMs=358 responseLength=42
09-10 12:07:08.474  3972  3989 I LlamaTranslationBridge: generate success promptLength=232 translatedLength=42 maxTokens=256 durationMs=358
09-10 12:07:08.474  3972  3989 I LlamaTranslationBridge: generate raw=I didn't want to be seen with such a face.
09-10 12:07:08.735  3972  3989 I LlamaJNI: Generation complete tokens=5 resultLength=22 durationMs=262 sampleMs=0.40 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:08.735  3972  3989 I LlamaBridge: generate completed status=success durationMs=261 responseLength=22
09-10 12:07:08.735  3972  3989 I LlamaTranslationBridge: generate success promptLength=226 translatedLength=22 maxTokens=256 durationMs=261
09-10 12:07:08.735  3972  3989 I LlamaTranslationBridge: generate raw=I always am beautiful.
09-10 12:07:09.021  3972  3989 I LlamaJNI: Generation complete tokens=8 resultLength=28 durationMs=286 sampleMs=0.44 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:09.022  3972  3989 I LlamaBridge: generate completed status=success durationMs=287 responseLength=28
09-10 12:07:09.022  3972  3989 I LlamaTranslationBridge: generate success promptLength=228 translatedLength=28 maxTokens=256 durationMs=287
09-10 12:07:09.022  3972  3989 I LlamaTranslationBridge: generate raw=You weren't even on my side.
09-10 12:07:09.364  3972  3989 I LlamaJNI: Generation complete tokens=12 resultLength=42 durationMs=342 sampleMs=0.64 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:09.364  3972  3989 I LlamaBridge: generate completed status=success durationMs=342 responseLength=42
09-10 12:07:09.364  3972  3989 I LlamaTranslationBridge: generate success promptLength=232 translatedLength=42 maxTokens=256 durationMs=342
09-10 12:07:09.364  3972  3989 I LlamaTranslationBridge: generate raw=I didn't want to be seen with such a face.
09-10 12:07:09.618  3972  3989 I LlamaJNI: Generation complete tokens=6 resultLength=18 durationMs=254 sampleMs=0.36 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:09.618  3972  3989 I LlamaBridge: generate completed status=success durationMs=254 responseLength=18
09-10 12:07:09.618  3972  3989 I LlamaTranslationBridge: generate success promptLength=219 translatedLength=18 maxTokens=256 durationMs=254
09-10 12:07:09.618  3972  3989 I LlamaTranslationBridge: generate raw=Yeah, it's normal!
09-10 12:07:09.621  3972  3989 I ArchitectureSpikeTest: Result engine=qwen_perline case=bourei-p30 bubbles=6 durationMs=2334 pssKb=2122075 covered=6 sourceEchoes=0
09-10 12:07:09.621  3972  3989 I ArchitectureSpikeTest: RAW engine=qwen_perline case=bourei-p30 raw=[0] You were beautiful.\n[2] What are you holding back on?\n[3] You weren't even on my side.\n[5] I didn't want to be seen with such a face.\n[1] I always am beautiful.\n[3] You weren't even on my side.\n[5] I didn't want to be seen with such a face.\n[4] Yeah, it's normal!
09-10 12:07:09.621  3972  3989 I ArchitectureSpikeTest: RESULT_JSON case=bourei-p30 engine=qwen_perline json={"engine":"qwen_perline","translations":["You were beautiful.","I always am beautiful.","What are you holding back on?","You weren't even on my side.","Yeah, it's normal!","I didn't want to be seen with such a face."]}
09-10 12:07:09.844  3972  3989 I LlamaJNI: Generation complete tokens=3 resultLength=12 durationMs=222 sampleMs=0.20 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:09.844  3972  3989 I LlamaBridge: generate completed status=success durationMs=223 responseLength=12
09-10 12:07:09.844  3972  3989 I LlamaTranslationBridge: generate success promptLength=216 translatedLength=12 maxTokens=256 durationMs=223
09-10 12:07:09.844  3972  3989 I LlamaTranslationBridge: generate raw=Funeral home
09-10 12:07:09.847  3972  3989 I ArchitectureSpikeTest: Result engine=qwen_perline case=bourei-sparse-single bubbles=1 durationMs=223 pssKb=2122171 covered=1 sourceEchoes=0
09-10 12:07:09.849  3972  3989 I ArchitectureSpikeTest: RAW engine=qwen_perline case=bourei-sparse-single raw=[0] Funeral home
09-10 12:07:09.849  3972  3989 I ArchitectureSpikeTest: RESULT_JSON case=bourei-sparse-single engine=qwen_perline json={"engine":"qwen_perline","translations":["Funeral home"]}
09-10 12:07:10.153  3972  3989 I LlamaJNI: Generation complete tokens=9 resultLength=41 durationMs=303 sampleMs=0.50 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:10.153  3972  3989 I LlamaBridge: generate completed status=success durationMs=304 responseLength=41
09-10 12:07:10.153  3972  3989 I LlamaTranslationBridge: generate success promptLength=223 translatedLength=41 maxTokens=256 durationMs=304
09-10 12:07:10.153  3972  3989 I LlamaTranslationBridge: generate raw=That giant demon being burned to a crisp.
09-10 12:07:10.491  3972  3989 I LlamaJNI: Generation complete tokens=12 resultLength=47 durationMs=338 sampleMs=0.67 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:10.492  3972  3989 I LlamaBridge: generate completed status=success durationMs=339 responseLength=47
09-10 12:07:10.492  3972  3989 I LlamaTranslationBridge: generate success promptLength=230 translatedLength=47 maxTokens=256 durationMs=339
09-10 12:07:10.492  3972  3989 I LlamaTranslationBridge: generate raw=You'll be killed if you call me gods or ghosts.
09-10 12:07:10.758  3972  3989 I LlamaJNI: Generation complete tokens=6 resultLength=19 durationMs=266 sampleMs=0.34 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:10.758  3972  3989 I LlamaBridge: generate completed status=success durationMs=266 responseLength=19
09-10 12:07:10.758  3972  3989 I LlamaTranslationBridge: generate success promptLength=224 translatedLength=19 maxTokens=256 durationMs=266
09-10 12:07:10.758  3972  3989 I LlamaTranslationBridge: generate raw=It's not a mistake.
09-10 12:07:10.964  3972  3989 I LlamaJNI: Generation complete tokens=2 resultLength=8 durationMs=206 sampleMs=0.15 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:10.964  3972  3989 I LlamaBridge: generate completed status=success durationMs=206 responseLength=8
09-10 12:07:10.964  3972  3989 I LlamaTranslationBridge: generate success promptLength=214 translatedLength=8 maxTokens=256 durationMs=206
09-10 12:07:10.964  3972  3989 I LlamaTranslationBridge: generate raw=That eye
09-10 12:07:11.293  3972  3989 I LlamaJNI: Generation complete tokens=11 resultLength=45 durationMs=329 sampleMs=0.59 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:11.294  3972  3989 I LlamaBridge: generate completed status=success durationMs=330 responseLength=45
09-10 12:07:11.294  3972  3989 I LlamaTranslationBridge: generate success promptLength=223 translatedLength=45 maxTokens=256 durationMs=330
09-10 12:07:11.294  3972  3989 I LlamaTranslationBridge: generate raw=Ever since my family was devoured by a demon.
09-10 12:07:11.593  3972  3989 I LlamaJNI: Generation complete tokens=9 resultLength=40 durationMs=300 sampleMs=0.50 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:11.594  3972  3989 I LlamaBridge: generate completed status=success durationMs=300 responseLength=40
09-10 12:07:11.594  3972  3989 I LlamaTranslationBridge: generate success promptLength=221 translatedLength=40 maxTokens=256 durationMs=300
09-10 12:07:11.594  3972  3989 I LlamaTranslationBridge: generate raw=Indeed, the strength of a god-like being
09-10 12:07:11.838  3972  3989 I LlamaJNI: Generation complete tokens=3 resultLength=14 durationMs=243 sampleMs=0.20 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:11.838  3972  3989 I LlamaBridge: generate completed status=success durationMs=244 responseLength=14
09-10 12:07:11.838  3972  3989 I LlamaTranslationBridge: generate success promptLength=218 translatedLength=14 maxTokens=256 durationMs=244
09-10 12:07:11.838  3972  3989 I LlamaTranslationBridge: generate raw=Born a vampire
09-10 12:07:12.158  3972  3989 I LlamaJNI: Generation complete tokens=9 resultLength=40 durationMs=319 sampleMs=0.50 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:12.158  3972  3989 I LlamaBridge: generate completed status=success durationMs=320 responseLength=40
09-10 12:07:12.158  3972  3989 I LlamaTranslationBridge: generate success promptLength=227 translatedLength=40 maxTokens=256 durationMs=320
09-10 12:07:12.158  3972  3989 I LlamaTranslationBridge: generate raw=My heart is indeed inhabited by a demon.
09-10 12:07:12.419  3972  3989 I LlamaJNI: Generation complete tokens=5 resultLength=19 durationMs=261 sampleMs=0.30 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:12.420  3972  3989 I LlamaBridge: generate completed status=success durationMs=262 responseLength=19
09-10 12:07:12.420  3972  3989 I LlamaTranslationBridge: generate success promptLength=218 translatedLength=19 maxTokens=256 durationMs=262
09-10 12:07:12.420  3972  3989 I LlamaTranslationBridge: generate raw=Born a demon slayer
09-10 12:07:12.738  3972  3989 I LlamaJNI: Generation complete tokens=9 resultLength=40 durationMs=318 sampleMs=0.51 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:12.738  3972  3989 I LlamaBridge: generate completed status=success durationMs=318 responseLength=40
09-10 12:07:12.738  3972  3989 I LlamaTranslationBridge: generate success promptLength=227 translatedLength=40 maxTokens=256 durationMs=318
09-10 12:07:12.738  3972  3989 I LlamaTranslationBridge: generate raw=My heart is indeed inhabited by a demon.
09-10 12:07:13.030  3972  3989 I LlamaJNI: Generation complete tokens=8 resultLength=30 durationMs=292 sampleMs=0.48 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:13.031  3972  3989 I LlamaBridge: generate completed status=success durationMs=293 responseLength=30
09-10 12:07:13.031  3972  3989 I LlamaTranslationBridge: generate success promptLength=221 translatedLength=30 maxTokens=256 durationMs=293
09-10 12:07:13.031  3972  3989 I LlamaTranslationBridge: generate raw=Indeed, the strength of a god.
09-10 12:07:13.323  3972  3989 I LlamaJNI: Generation complete tokens=8 resultLength=30 durationMs=293 sampleMs=0.46 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:13.324  3972  3989 I LlamaBridge: generate completed status=success durationMs=293 responseLength=30
09-10 12:07:13.324  3972  3989 I LlamaTranslationBridge: generate success promptLength=221 translatedLength=30 maxTokens=256 durationMs=293
09-10 12:07:13.324  3972  3989 I LlamaTranslationBridge: generate raw=Indeed, the strength of a god.
09-10 12:07:13.565  3972  3989 I LlamaJNI: Generation complete tokens=3 resultLength=14 durationMs=241 sampleMs=0.20 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:13.565  3972  3989 I LlamaBridge: generate completed status=success durationMs=241 responseLength=14
09-10 12:07:13.565  3972  3989 I LlamaTranslationBridge: generate success promptLength=218 translatedLength=14 maxTokens=256 durationMs=241
09-10 12:07:13.565  3972  3989 I LlamaTranslationBridge: generate raw=Born a vampire
09-10 12:07:13.884  3972  3989 I LlamaJNI: Generation complete tokens=9 resultLength=40 durationMs=318 sampleMs=0.50 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:13.884  3972  3989 I LlamaBridge: generate completed status=success durationMs=319 responseLength=40
09-10 12:07:13.884  3972  3989 I LlamaTranslationBridge: generate success promptLength=227 translatedLength=40 maxTokens=256 durationMs=319
09-10 12:07:13.885  3972  3989 I LlamaTranslationBridge: generate raw=My heart is indeed inhabited by a demon.
09-10 12:07:13.890  3972  3989 I ArchitectureSpikeTest: Result engine=qwen_perline case=rasetugari-action-fantasy bubbles=8 durationMs=4035 pssKb=2123403 covered=8 sourceEchoes=0
09-10 12:07:13.890  3972  3989 I ArchitectureSpikeTest: RAW engine=qwen_perline case=rasetugari-action-fantasy raw=[0] That giant demon being burned to a crisp.\n[2] You'll be killed if you call me gods or ghosts.\n[5] It's not a mistake.\n[6] That eye\n[3] Ever since my family was devoured by a demon.\n[1] Indeed, the strength of a god-like being\n[4] Born a vampire\n[7] My heart is indeed inhabited by a demon.\n[4] Born a demon slayer\n[7] My heart is indeed inhabited by a demon.\n[1] Indeed, the strength of a god.\n[1] Indeed, the strength of a god.\n[4] Born a vampire\n[7] My heart is indeed inhabited by a demon.
09-10 12:07:13.891  3972  3989 I ArchitectureSpikeTest: RESULT_JSON case=rasetugari-action-fantasy engine=qwen_perline json={"engine":"qwen_perline","translations":["That giant demon being burned to a crisp.","Indeed, the strength of a god.","You'll be killed if you call me gods or ghosts.","Ever since my family was devoured by a demon.","Born a vampire","It's not a mistake.","That eye","My heart is indeed inhabited by a demon."]}
09-10 12:07:14.143  3972  3989 I LlamaJNI: Generation complete tokens=6 resultLength=13 durationMs=252 sampleMs=0.35 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:14.144  3972  3989 I LlamaBridge: generate completed status=success durationMs=253 responseLength=13
09-10 12:07:14.144  3972  3989 I LlamaTranslationBridge: generate success promptLength=216 translatedLength=13 maxTokens=256 durationMs=253
09-10 12:07:14.144  3972  3989 I LlamaTranslationBridge: generate raw=Shougi Maru!!
09-10 12:07:14.389  3972  3989 I LlamaJNI: Generation complete tokens=4 resultLength=12 durationMs=246 sampleMs=0.25 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:14.390  3972  3989 I LlamaBridge: generate completed status=success durationMs=245 responseLength=12
09-10 12:07:14.390  3972  3989 I LlamaTranslationBridge: generate success promptLength=218 translatedLength=12 maxTokens=256 durationMs=245
09-10 12:07:14.390  3972  3989 I LlamaTranslationBridge: generate raw=Rajah Slayer
09-10 12:07:14.651  3972  3989 I LlamaJNI: Generation complete tokens=7 resultLength=17 durationMs=261 sampleMs=0.40 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:14.651  3972  3989 I LlamaBridge: generate completed status=success durationMs=261 responseLength=17
09-10 12:07:14.651  3972  3989 I LlamaTranslationBridge: generate success promptLength=215 translatedLength=17 maxTokens=256 durationMs=261
09-10 12:07:14.651  3972  3989 I LlamaTranslationBridge: generate raw=In Tsubaki Hyouya
09-10 12:07:14.926  3972  3989 I LlamaJNI: Generation complete tokens=7 resultLength=34 durationMs=276 sampleMs=0.40 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:14.927  3972  3989 I LlamaBridge: generate completed status=success durationMs=276 responseLength=34
09-10 12:07:14.927  3972  3989 I LlamaTranslationBridge: generate success promptLength=221 translatedLength=34 maxTokens=256 durationMs=276
09-10 12:07:14.927  3972  3989 I LlamaTranslationBridge: generate raw=Family's Vengeance After Ten Years
09-10 12:07:15.245  3972  3989 I LlamaJNI: Generation complete tokens=9 resultLength=33 durationMs=319 sampleMs=0.51 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:15.246  3972  3989 I LlamaBridge: generate completed status=success durationMs=318 responseLength=33
09-10 12:07:15.246  3972  3989 I LlamaTranslationBridge: generate success promptLength=224 translatedLength=33 maxTokens=256 durationMs=318
09-10 12:07:15.246  3972  3989 I LlamaTranslationBridge: generate raw=You're going to send you to hell.
09-10 12:07:15.487  3972  3989 I LlamaJNI: Generation complete tokens=5 resultLength=15 durationMs=241 sampleMs=0.31 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:15.487  3972  3989 I LlamaBridge: generate completed status=success durationMs=241 responseLength=15
09-10 12:07:15.487  3972  3989 I LlamaTranslationBridge: generate success promptLength=217 translatedLength=15 maxTokens=256 durationMs=241
09-10 12:07:15.487  3972  3989 I LlamaTranslationBridge: generate raw=In the vine...?
09-10 12:07:15.820  3972  3989 I LlamaJNI: Generation complete tokens=11 resultLength=34 durationMs=332 sampleMs=0.59 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:15.820  3972  3989 I LlamaBridge: generate completed status=success durationMs=333 responseLength=34
09-10 12:07:15.821  3972  3989 I LlamaTranslationBridge: generate success promptLength=224 translatedLength=34 maxTokens=256 durationMs=333
09-10 12:07:15.821  3972  3989 I LlamaTranslationBridge: generate raw=You'll send you to hell, I'll say.
09-10 12:07:16.064  3972  3989 I LlamaJNI: Generation complete tokens=5 resultLength=15 durationMs=244 sampleMs=0.35 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:16.065  3972  3989 I LlamaBridge: generate completed status=success durationMs=244 responseLength=15
09-10 12:07:16.065  3972  3989 I LlamaTranslationBridge: generate success promptLength=217 translatedLength=15 maxTokens=256 durationMs=244
09-10 12:07:16.065  3972  3989 I LlamaTranslationBridge: generate raw=In the vine...?
09-10 12:07:16.067  3972  3989 I ArchitectureSpikeTest: Result engine=qwen_perline case=rasetugari-p19 bubbles=6 durationMs=2171 pssKb=2121643 covered=6 sourceEchoes=0
09-10 12:07:16.068  3972  3989 I ArchitectureSpikeTest: RAW engine=qwen_perline case=rasetugari-p19 raw=[4] Shougi Maru!!\n[0] Rajah Slayer\n[1] In Tsubaki Hyouya\n[2] Family's Vengeance After Ten Years\n[3] You're going to send you to hell.\n[5] In the vine...?\n[3] You'll send you to hell, I'll say.\n[5] In the vine...?
09-10 12:07:16.069  3972  3989 I ArchitectureSpikeTest: RESULT_JSON case=rasetugari-p19 engine=qwen_perline json={"engine":"qwen_perline","translations":["Rajah Slayer","In Tsubaki Hyouya","Family's Vengeance After Ten Years","You'll send you to hell, I'll say.","Shougi Maru!!","In the vine...?"]}
09-10 12:07:16.301  3972  3989 I LlamaJNI: Generation complete tokens=4 resultLength=10 durationMs=232 sampleMs=0.24 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:16.302  3972  3989 I LlamaBridge: generate completed status=success durationMs=232 responseLength=10
09-10 12:07:16.302  3972  3989 I LlamaTranslationBridge: generate success promptLength=219 translatedLength=10 maxTokens=256 durationMs=232
09-10 12:07:16.302  3972  3989 I LlamaTranslationBridge: generate raw=What's up?
09-10 12:07:16.564  3972  3989 I LlamaJNI: Generation complete tokens=6 resultLength=21 durationMs=262 sampleMs=0.36 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:16.564  3972  3989 I LlamaBridge: generate completed status=success durationMs=262 responseLength=21
09-10 12:07:16.565  3972  3989 I LlamaTranslationBridge: generate success promptLength=219 translatedLength=21 maxTokens=256 durationMs=262
09-10 12:07:16.565  3972  3989 I LlamaTranslationBridge: generate raw=Wearing a demon face.
09-10 12:07:16.761  3972  3989 I LlamaJNI: Generation complete tokens=1 resultLength=4 durationMs=197 sampleMs=0.10 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:16.762  3972  3989 I LlamaBridge: generate completed status=success durationMs=197 responseLength=4
09-10 12:07:16.762  3972  3989 I LlamaTranslationBridge: generate success promptLength=213 translatedLength=4 maxTokens=256 durationMs=197
09-10 12:07:16.762  3972  3989 I LlamaTranslationBridge: generate raw=Lord
09-10 12:07:16.958  3972  3989 I LlamaJNI: Generation complete tokens=1 resultLength=6 durationMs=197 sampleMs=0.10 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:16.958  3972  3989 I LlamaBridge: generate completed status=success durationMs=196 responseLength=6
09-10 12:07:16.959  3972  3989 I LlamaTranslationBridge: generate success promptLength=213 translatedLength=6 maxTokens=256 durationMs=196
09-10 12:07:16.959  3972  3989 I LlamaTranslationBridge: generate raw=Master
09-10 12:07:17.205  3972  3989 I LlamaJNI: Generation complete tokens=5 resultLength=19 durationMs=246 sampleMs=0.30 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:17.205  3972  3989 I LlamaBridge: generate completed status=success durationMs=246 responseLength=19
09-10 12:07:17.205  3972  3989 I LlamaTranslationBridge: generate success promptLength=219 translatedLength=19 maxTokens=256 durationMs=246
09-10 12:07:17.205  3972  3989 I LlamaTranslationBridge: generate raw=Such a thing for me
09-10 12:07:17.488  3972  3989 I LlamaJNI: Generation complete tokens=5 resultLength=16 durationMs=283 sampleMs=0.35 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:17.489  3972  3989 I LlamaBridge: generate completed status=success durationMs=284 responseLength=16
09-10 12:07:17.489  3972  3989 I LlamaTranslationBridge: generate success promptLength=219 translatedLength=16 maxTokens=256 durationMs=284
09-10 12:07:17.489  3972  3989 I LlamaTranslationBridge: generate raw=Quickly, face...
09-10 12:07:17.743  3972  3989 I LlamaJNI: Generation complete tokens=3 resultLength=10 durationMs=255 sampleMs=0.20 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:17.743  3972  3989 I LlamaBridge: generate completed status=success durationMs=254 responseLength=10
09-10 12:07:17.744  3972  3989 I LlamaTranslationBridge: generate success promptLength=216 translatedLength=10 maxTokens=256 durationMs=254
09-10 12:07:17.744  3972  3989 I LlamaTranslationBridge: generate raw=Harmony...
09-10 12:07:17.965  3972  3989 I LlamaJNI: Generation complete tokens=3 resultLength=10 durationMs=222 sampleMs=0.19 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:17.966  3972  3989 I LlamaBridge: generate completed status=success durationMs=222 responseLength=10
09-10 12:07:17.966  3972  3989 I LlamaTranslationBridge: generate success promptLength=216 translatedLength=10 maxTokens=256 durationMs=222
09-10 12:07:17.966  3972  3989 I LlamaTranslationBridge: generate raw=Harmony...
09-10 12:07:18.225  3972  3989 I LlamaJNI: Generation complete tokens=5 resultLength=16 durationMs=260 sampleMs=0.30 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:18.225  3972  3989 I LlamaBridge: generate completed status=success durationMs=259 responseLength=16
09-10 12:07:18.225  3972  3989 I LlamaTranslationBridge: generate success promptLength=219 translatedLength=16 maxTokens=256 durationMs=259
09-10 12:07:18.225  3972  3989 I LlamaTranslationBridge: generate raw=Quickly, face...
09-10 12:07:18.228  3972  3989 I ArchitectureSpikeTest: Result engine=qwen_perline case=rasetugari-p35 bubbles=7 durationMs=2152 pssKb=2121707 covered=7 sourceEchoes=0
09-10 12:07:18.228  3972  3989 I ArchitectureSpikeTest: RAW engine=qwen_perline case=rasetugari-p35 raw=[3] What's up?\n[4] Wearing a demon face.\n[0] Lord\n[1] Master\n[5] Such a thing for me\n[6] Quickly, face...\n[2] Harmony...\n[2] Harmony...\n[6] Quickly, face...
09-10 12:07:18.228  3972  3989 I ArchitectureSpikeTest: RESULT_JSON case=rasetugari-p35 engine=qwen_perline json={"engine":"qwen_perline","translations":["Lord","Master","Harmony...","What's up?","Wearing a demon face.","Such a thing for me","Quickly, face..."]}
09-10 12:07:18.535  3972  3989 I LlamaJNI: Generation complete tokens=8 resultLength=45 durationMs=307 sampleMs=0.45 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:18.535  3972  3989 I LlamaBridge: generate completed status=success durationMs=306 responseLength=45
09-10 12:07:18.535  3972  3989 I LlamaTranslationBridge: generate success promptLength=226 translatedLength=45 maxTokens=256 durationMs=306
09-10 12:07:18.536  3972  3989 I LlamaTranslationBridge: generate raw=Despite always smiling and working every day.
09-10 12:07:18.831  3972  3989 I LlamaJNI: Generation complete tokens=7 resultLength=30 durationMs=296 sampleMs=0.40 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:18.831  3972  3989 I LlamaBridge: generate completed status=success durationMs=295 responseLength=30
09-10 12:07:18.831  3972  3989 I LlamaTranslationBridge: generate success promptLength=224 translatedLength=30 maxTokens=256 durationMs=295
09-10 12:07:18.831  3972  3989 I LlamaTranslationBridge: generate raw=Hurt stomach, went to pharmacy
09-10 12:07:19.087  3972  3989 I LlamaJNI: Generation complete tokens=5 resultLength=28 durationMs=255 sampleMs=0.30 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:19.087  3972  3989 I LlamaBridge: generate completed status=success durationMs=256 responseLength=28
09-10 12:07:19.087  3972  3989 I LlamaTranslationBridge: generate success promptLength=219 translatedLength=28 maxTokens=256 durationMs=256
09-10 12:07:19.087  3972  3989 I LlamaTranslationBridge: generate raw=Looks like the store manager
09-10 12:07:19.386  3972  3989 I LlamaJNI: Generation complete tokens=9 resultLength=46 durationMs=300 sampleMs=0.49 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:19.386  3972  3989 I LlamaBridge: generate completed status=success durationMs=299 responseLength=46
09-10 12:07:19.387  3972  3989 I LlamaTranslationBridge: generate success promptLength=226 translatedLength=46 maxTokens=256 durationMs=299
09-10 12:07:19.387  3972  3989 I LlamaTranslationBridge: generate raw=Only the contents of the single backpack I had
09-10 12:07:19.681  3972  3989 I LlamaJNI: Generation complete tokens=7 resultLength=30 durationMs=295 sampleMs=0.41 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:19.682  3972  3989 I LlamaBridge: generate completed status=success durationMs=295 responseLength=30
09-10 12:07:19.682  3972  3989 I LlamaTranslationBridge: generate success promptLength=224 translatedLength=30 maxTokens=256 durationMs=295
09-10 12:07:19.682  3972  3989 I LlamaTranslationBridge: generate raw=Hurt stomach, went to pharmacy
09-10 12:07:19.947  3972  3989 I LlamaJNI: Generation complete tokens=5 resultLength=28 durationMs=265 sampleMs=0.31 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:19.947  3972  3989 I LlamaBridge: generate completed status=success durationMs=265 responseLength=28
09-10 12:07:19.947  3972  3989 I LlamaTranslationBridge: generate success promptLength=219 translatedLength=28 maxTokens=256 durationMs=265
09-10 12:07:19.947  3972  3989 I LlamaTranslationBridge: generate raw=Looks like the store manager
09-10 12:07:20.264  3972  3989 I LlamaJNI: Generation complete tokens=11 resultLength=52 durationMs=316 sampleMs=0.61 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:20.264  3972  3989 I LlamaBridge: generate completed status=success durationMs=317 responseLength=52
09-10 12:07:20.264  3972  3989 I LlamaTranslationBridge: generate success promptLength=226 translatedLength=52 maxTokens=256 durationMs=317
09-10 12:07:20.264  3972  3989 I LlamaTranslationBridge: generate raw=Only the contents of the single backpack I had held.
09-10 12:07:20.573  3972  3989 I LlamaJNI: Generation complete tokens=8 resultLength=45 durationMs=309 sampleMs=0.43 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:20.573  3972  3989 I LlamaBridge: generate completed status=success durationMs=309 responseLength=45
09-10 12:07:20.573  3972  3989 I LlamaTranslationBridge: generate success promptLength=226 translatedLength=45 maxTokens=256 durationMs=309
09-10 12:07:20.573  3972  3989 I LlamaTranslationBridge: generate raw=Despite always smiling and working every day.
09-10 12:07:20.869  3972  3989 I LlamaJNI: Generation complete tokens=7 resultLength=30 durationMs=295 sampleMs=0.40 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:20.869  3972  3989 I LlamaBridge: generate completed status=success durationMs=296 responseLength=30
09-10 12:07:20.869  3972  3989 I LlamaTranslationBridge: generate success promptLength=224 translatedLength=30 maxTokens=256 durationMs=296
09-10 12:07:20.869  3972  3989 I LlamaTranslationBridge: generate raw=Hurt stomach, went to pharmacy
09-10 12:07:21.123  3972  3989 I LlamaJNI: Generation complete tokens=5 resultLength=28 durationMs=254 sampleMs=0.32 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:21.123  3972  3989 I LlamaBridge: generate completed status=success durationMs=254 responseLength=28
09-10 12:07:21.123  3972  3989 I LlamaTranslationBridge: generate success promptLength=219 translatedLength=28 maxTokens=256 durationMs=254
09-10 12:07:21.123  3972  3989 I LlamaTranslationBridge: generate raw=Looks like the store manager
09-10 12:07:21.443  3972  3989 I LlamaJNI: Generation complete tokens=9 resultLength=46 durationMs=320 sampleMs=0.50 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:07:21.443  3972  3989 I LlamaBridge: generate completed status=success durationMs=320 responseLength=46
09-10 12:07:21.443  3972  3989 I LlamaTranslationBridge: generate success promptLength=226 translatedLength=46 maxTokens=256 durationMs=320
